,date,type,Is International,Unnamed: 0,callsign,typecode,origin,destination,firstseen,latitude_1,longitude_1,latitude_2,longitude_2,Departure Country,Arrival Country
72,2019-01-19,passenger,0,487,487,450,487,487,487,487,487,487,487,485,486
73,2019-01-19,passenger,1,223,223,217,223,223,223,223,223,223,223,223,223
74,2019-01-20,cargo,0,12,12,12,12,12,12,12,12,12,12,12,12
75,2019-01-20,cargo,1,1,1,1,1,1,1,1,1,1,1,1,1
76,2019-01-20,passenger,0,610,610,573,610,610,610,610,610,610,610,609,607
77,2019-01-20,passenger,1,244,244,233,244,244,244,244,244,244,244,244,244
78,2019-01-21,cargo,0,14,14,14,14,14,14,14,14,14,14,14,14
79,2019-01-21,passenger,0,686,686,626,686,686,686,686,686,686,686,684,684
80,2019-01-21,passenger,1,336,336,327,336,336,336,336,336,336,336,336,336
81,2019-01-22,cargo,0,14,14,14,14,14,14,14,14,14,14,14,14
82,2019-01-22,passenger,0,661,661,608,661,661,661,661,661,661,661,659,659
83,2019-01-22,passenger,1,334,334,325,334,334,334,334,334,334,334,334,334
84,2019-01-23,cargo,0,20,20,20,20,20,20,20,20,20,20,20,20
85,2019-01-23,cargo,1,1,1,1,1,1,1,1,1,1,1,1,1
86,2019-01-23,passenger,0,669,669,622,669,669,669,669,669,669,669,667,667
87,2019-01-23,passenger,1,338,338,329,338,338,338,338,338,338,338,338,338
88,2019-01-24,cargo,0,13,13,13,13,13,13,13,13,13,13,13,13
89,2019-01-24,passenger,0,664,664,608,664,664,664,664,664,664,664,661,661
90,2019-01-24,passenger,1,338,338,324,338,338,338,338,338,338,338,338,338
91,2019-01-25,cargo,0,20,20,20,20,20,20,20,20,20,20,20,20
92,2019-01-25,cargo,1,1,1,1,1,1,1,1,1,1,1,1,1
93,2019-01-25,passenger,0,652,652,599,652,652,652,652,652,652,652,651,651
94,2019-01-25,passenger,1,297,297,286,297,297,297,297,297,297,297,297,297
95,2019-01-26,cargo,0,18,18,18,18,18,18,18,18,18,18,18,18
96,2019-01-26,passenger,0,614,614,561,614,614,614,614,614,614,614,612,612
97,2019-01-26,passenger,1,225,225,220,225,225,225,225,225,225,225,225,225
98,2019-01-27,cargo,0,13,13,13,13,13,13,13,13,13,13,13,13
99,2019-01-27,cargo,1,2,2,2,2,2,2,2,2,2,2,2,2
100,2019-01-27,passenger,0,633,633,582,633,633,633,633,633,633,633,631,631
101,2019-01-27,passenger,1,246,246,238,246,246,246,246,246,246,246,246,246
102,2019-01-28,cargo,0,14,14,14,14,14,14,14,14,14,14,14,14
103,2019-01-28,cargo,1,1,1,1,1,1,1,1,1,1,1,1,1
104,2019-01-28,passenger,0,686,686,624,686,686,686,686,686,686,686,683,683
105,2019-01-28,passenger,1,330,330,321,330,330,330,330,330,330,330,330,330
106,2019-01-29,cargo,0,11,11,11,11,11,11,11,11,11,11,11,11
107,2019-01-29,cargo,1,1,1,1,1,1,1,1,1,1,1,1,1
108,2019-01-29,passenger,0,659,659,604,659,659,659,659,659,659,659,657,656
109,2019-01-29,passenger,1,344,344,332,344,344,344,344,344,344,344,344,344
110,2019-01-30,cargo,0,17,17,17,17,17,17,17,17,17,17,17,17
111,2019-01-30,passenger,0,680,680,625,680,680,680,680,680,680,680,676,676
112,2019-01-30,passenger,1,321,321,305,321,321,321,321,321,321,321,321,321
113,2019-01-31,cargo,0,13,13,13,13,13,13,13,13,13,13,13,13
114,2019-01-31,passenger,0,640,640,583,640,640,640,640,640,640,640,638,639
115,2019-01-31,passenger,1,315,315,301,315,315,315,315,315,315,315,315,315
116,2019-02-01,cargo,0,15,15,15,15,15,15,15,15,15,15,15,15
117,2019-02-01,cargo,1,1,1,1,1,1,1,1,1,1,1,1,1
118,2019-02-01,passenger,0,699,699,648,699,699,699,699,699,699,699,698,698
119,2019-02-01,passenger,1,319,319,306,319,319,319,319,319,319,319,319,319
120,2019-02-02,cargo,0,15,15,15,15,15,15,15,15,15,15,15,15
121,2019-02-02,passenger,0,634,634,581,634,634,634,634,634,634,634,631,630
122,2019-02-02,passenger,1,228,228,214,228,228,228,228,228,228,228,228,228
123,2019-02-03,cargo,0,12,12,12,12,12,12,12,12,12,12,12,12
124,2019-02-03,cargo,1,1,1,1,1,1,1,1,1,1,1,1,1
125,2019-02-03,passenger,0,536,536,488,536,536,536,536,536,536,536,535,535
126,2019-02-03,passenger,1,167,167,152,167,167,167,167,167,167,167,167,167
127,2019-02-04,cargo,0,13,13,13,13,13,13,13,13,13,13,13,13
128,2019-02-04,cargo,1,1,1,1,1,1,1,1,1,1,1,1,1
129,2019-02-04,passenger,0,648,648,585,648,648,648,648,648,648,648,645,645
130,2019-02-04,passenger,1,252,252,243,252,252,252,252,252,252,252,252,252
131,2019-02-05,cargo,0,11,11,11,11,11,11,11,11,11,11,11,11
132,2019-02-05,passenger,0,663,663,611,663,663,663,663,663,663,663,662,661
133,2019-02-05,passenger,1,328,328,319,328,328,328,328,328,328,328,328,328
134,2019-02-06,cargo,0,13,13,13,13,13,13,13,13,13,13,13,13
135,2019-02-06,cargo,1,1,1,1,1,1,1,1,1,1,1,1,1
136,2019-02-06,passenger,0,679,679,627,679,679,679,679,679,679,679,677,676
137,2019-02-06,passenger,1,338,338,309,338,338,338,338,338,338,338,338,338
138,2019-02-07,cargo,0,16,16,16,16,16,16,16,16,16,16,16,16
139,2019-02-07,passenger,0,670,670,619,670,670,670,670,670,670,670,669,669
140,2019-02-07,passenger,1,296,296,283,296,296,296,296,296,296,296,296,296
141,2019-02-08,cargo,0,9,9,9,9,9,9,9,9,9,9,9,9
142,2019-02-08,cargo,1,1,1,1,1,1,1,1,1,1,1,1,1
143,2019-02-08,passenger,0,720,720,667,720,720,720,720,720,720,720,718,718
144,2019-02-08,passenger,1,339,339,329,339,339,339,339,339,339,339,339,339
145,2019-02-09,cargo,0,14,14,14,14,14,14,14,14,14,14,14,14
146,2019-02-09,cargo,1,1,1,1,1,1,1,1,1,1,1,1,1
147,2019-02-09,passenger,0,660,660,601,660,660,660,660,660,660,660,659,658
148,2019-02-09,passenger,1,225,225,214,225,225,225,225,225,225,225,225,225
149,2019-02-10,cargo,0,8,8,8,8,8,8,8,8,8,8,8,8
150,2019-02-10,cargo,1,1,1,1,1,1,1,1,1,1,1,1,1
151,2019-02-10,passenger,0,679,679,616,679,679,679,679,679,679,679,678,678
152,2019-02-10,passenger,1,250,250,231,250,250,250,250,250,250,250,250,250
153,2019-02-11,cargo,0,9,9,9,9,9,9,9,9,9,9,9,9
154,2019-02-11,cargo,1,1,1,1,1,1,1,1,1,1,1,1,1
155,2019-02-11,passenger,0,734,734,674,734,734,734,734,734,734,734,732,732
156,2019-02-11,passenger,1,344,344,318,344,344,344,344,344,344,344,344,344
157,2019-02-12,cargo,0,8,8,8,8,8,8,8,8,8,8,8,8
158,2019-02-12,passenger,0,700,700,635,700,700,700,700,700,700,700,698,698
159,2019-02-12,passenger,1,345,345,331,345,345,345,345,345,345,345,345,345
160,2019-02-13,cargo,0,13,13,13,13,13,13,13,13,13,13,13,13
161,2019-02-13,cargo,1,2,2,2,2,2,2,2,2,2,2,2,2
162,2019-02-13,passenger,0,697,697,636,697,697,697,697,697,697,697,695,695
163,2019-02-13,passenger,1,368,368,362,368,368,368,368,368,368,368,368,368
164,2019-02-14,cargo,0,13,13,13,13,13,13,13,13,13,13,13,13
165,2019-02-14,passenger,0,716,716,663,716,716,716,716,716,716,716,714,713
166,2019-02-14,passenger,1,369,369,351,369,369,369,369,369,369,369,369,369
167,2019-02-15,cargo,0,18,18,17,18,18,18,18,18,18,18,18,18
168,2019-02-15,cargo,1,1,1,1,1,1,1,1,1,1,1,1,1
169,2019-02-15,passenger,0,727,727,668,727,727,727,727,727,727,727,726,726
170,2019-02-15,passenger,1,358,358,343,358,358,358,358,358,358,358,358,358
171,2019-02-16,cargo,0,15,15,15,15,15,15,15,15,15,15,15,15
172,2019-02-16,cargo,1,1,1,1,1,1,1,1,1,1,1,1,1
173,2019-02-16,passenger,0,689,689,623,689,689,689,689,689,689,689,688,688
174,2019-02-16,passenger,1,228,228,221,228,228,228,228,228,228,228,228,228
175,2019-02-17,cargo,0,14,14,14,14,14,14,14,14,14,14,14,14
176,2019-02-17,cargo,1,2,2,2,2,2,2,2,2,2,2,2,2
177,2019-02-17,passenger,0,697,697,635,697,697,697,697,697,697,697,696,696
178,2019-02-17,passenger,1,251,251,233,251,251,251,251,251,251,251,251,251
179,2019-02-18,cargo,0,12,12,11,12,12,12,12,12,12,12,12,12
180,2019-02-18,cargo,1,1,1,1,1,1,1,1,1,1,1,1,1
181,2019-02-18,passenger,0,742,742,680,742,742,742,742,742,742,742,740,740
182,2019-02-18,passenger,1,359,359,340,359,359,359,359,359,359,359,359,359
183,2019-02-19,cargo,0,14,14,14,14,14,14,14,14,14,14,14,14
184,2019-02-19,cargo,1,1,1,1,1,1,1,1,1,1,1,1,1
185,2019-02-19,passenger,0,745,745,688,745,745,745,745,745,745,745,743,743
186,2019-02-19,passenger,1,353,353,334,353,353,353,353,353,353,353,353,353
187,2019-02-20,cargo,0,16,16,16,16,16,16,16,16,16,16,16,16
188,2019-02-20,cargo,1,1,1,1,1,1,1,1,1,1,1,1,1
189,2019-02-20,passenger,0,669,669,613,669,669,669,669,669,669,669,668,668
190,2019-02-20,passenger,1,339,339,324,339,339,339,339,339,339,339,339,339
191,2019-02-21,cargo,0,14,14,14,14,14,14,14,14,14,14,14,14
192,2019-02-21,cargo,1,1,1,1,1,1,1,1,1,1,1,1,1
193,2019-02-21,passenger,0,652,652,600,652,652,652,652,652,652,652,650,649
194,2019-02-21,passenger,1,376,376,359,376,376,376,376,376,376,376,376,376
195,2019-02-22,cargo,0,14,14,14,14,14,14,14,14,14,14,14,14
196,2019-02-22,cargo,1,3,3,3,3,3,3,3,3,3,3,3,3
197,2019-02-22,passenger,0,665,665,613,665,665,665,665,665,665,665,663,664
198,2019-02-22,passenger,1,366,366,344,366,366,366,366,366,366,366,366,366
199,2019-02-23,cargo,0,13,13,13,13,13,13,13,13,13,13,13,13
200,2019-02-23,cargo,1,2,2,2,2,2,2,2,2,2,2,2,2
201,2019-02-23,passenger,0,634,634,570,634,634,634,634,634,634,634,632,631
202,2019-02-23,passenger,1,239,239,229,239,239,239,239,239,239,239,239,239
203,2019-02-24,cargo,0,15,15,15,15,15,15,15,15,15,15,15,15
204,2019-02-24,passenger,0,628,628,584,628,628,628,628,628,628,628,627,627
205,2019-02-24,passenger,1,244,244,232,244,244,244,244,244,244,244,244,244
206,2019-02-25,cargo,0,9,9,9,9,9,9,9,9,9,9,9,9
207,2019-02-25,passenger,0,634,634,583,634,634,634,634,634,634,634,632,632
208,2019-02-25,passenger,1,334,334,310,334,334,334,334,334,334,334,334,334
209,2019-02-26,cargo,0,8,8,8,8,8,8,8,8,8,8,8,8
210,2019-02-26,cargo,1,1,1,1,1,1,1,1,1,1,1,1,1
211,2019-02-26,passenger,0,649,649,601,649,649,649,649,649,649,649,648,648
212,2019-02-26,passenger,1,326,326,308,326,326,326,326,326,326,326,326,326
213,2019-02-27,cargo,0,16,16,16,16,16,16,16,16,16,16,16,16
214,2019-02-27,cargo,1,3,3,3,3,3,3,3,3,3,3,3,3
215,2019-02-27,passenger,0,673,673,614,673,673,673,673,673,673,673,672,671
216,2019-02-27,passenger,1,362,362,340,362,362,362,362,362,362,362,362,362
217,2019-02-28,cargo,0,17,17,17,17,17,17,17,17,17,17,17,17
218,2019-02-28,cargo,1,1,1,1,1,1,1,1,1,1,1,1,1
219,2019-02-28,passenger,0,696,696,643,696,696,696,696,696,696,696,695,693
220,2019-02-28,passenger,1,364,364,341,364,364,364,364,364,364,364,364,364
221,2019-03-01,cargo,0,18,18,18,18,18,18,18,18,18,18,18,18
222,2019-03-01,cargo,1,1,1,1,1,1,1,1,1,1,1,1,1
223,2019-03-01,passenger,0,715,715,657,715,715,715,715,715,715,715,712,714
224,2019-03-01,passenger,1,356,356,332,356,356,356,356,356,356,356,356,356
225,2019-03-02,cargo,0,19,19,19,19,19,19,19,19,19,19,19,19
226,2019-03-02,passenger,0,645,645,586,645,645,645,645,645,645,645,643,642
227,2019-03-02,passenger,1,233,233,223,233,233,233,233,233,233,233,233,233
228,2019-03-03,cargo,0,17,17,17,17,17,17,17,17,17,17,17,17
229,2019-03-03,cargo,1,2,2,2,2,2,2,2,2,2,2,2,2
230,2019-03-03,passenger,0,655,655,587,655,655,655,655,655,655,655,653,654
231,2019-03-03,passenger,1,246,246,232,246,246,246,246,246,246,246,246,246
232,2019-03-04,cargo,0,11,11,11,11,11,11,11,11,11,11,11,11
233,2019-03-04,cargo,1,1,1,1,1,1,1,1,1,1,1,1,1
234,2019-03-04,passenger,0,720,720,659,720,720,720,720,720,720,720,719,719
235,2019-03-04,passenger,1,332,332,302,332,332,332,332,332,332,332,332,332
236,2019-03-05,cargo,0,14,14,14,14,14,14,14,14,14,14,14,14
237,2019-03-05,passenger,0,722,722,647,722,722,722,722,722,722,722,719,719
238,2019-03-05,passenger,1,357,357,348,357,357,357,357,357,357,357,357,357
239,2019-03-06,cargo,0,19,19,19,19,19,19,19,19,19,19,19,19
240,2019-03-06,cargo,1,1,1,1,1,1,1,1,1,1,1,1,1
241,2019-03-06,passenger,0,715,715,650,715,715,715,715,715,715,715,714,714
242,2019-03-06,passenger,1,363,363,340,363,363,363,363,363,363,363,363,363
243,2019-03-07,cargo,0,21,21,21,21,21,21,21,21,21,21,21,21
244,2019-03-07,passenger,0,710,710,635,710,710,710,710,710,710,710,709,708
245,2019-03-07,passenger,1,359,359,345,359,359,359,359,359,359,359,359,359
246,2019-03-08,cargo,0,17,17,17,17,17,17,17,17,17,17,17,17
247,2019-03-08,cargo,1,2,2,2,2,2,2,2,2,2,2,2,2
248,2019-03-08,passenger,0,725,725,650,725,725,725,725,725,725,725,723,724
249,2019-03-08,passenger,1,351,351,348,351,351,351,351,351,351,351,351,351
250,2019-03-09,cargo,0,15,15,15,15,15,15,15,15,15,15,15,15
251,2019-03-09,cargo,1,2,2,2,2,2,2,2,2,2,2,2,2
252,2019-03-09,passenger,0,648,648,585,648,648,648,648,648,648,648,646,645
253,2019-03-09,passenger,1,251,251,240,251,251,251,251,251,251,251,251,251
254,2019-03-10,cargo,0,20,20,20,20,20,20,20,20,20,20,20,20
255,2019-03-10,passenger,0,641,641,575,641,641,641,641,641,641,641,640,639
256,2019-03-10,passenger,1,221,221,210,221,221,221,221,221,221,221,221,221
257,2019-03-11,cargo,0,12,12,12,12,12,12,12,12,12,12,12,12
258,2019-03-11,cargo,1,3,3,3,3,3,3,3,3,3,3,3,3
259,2019-03-11,passenger,0,630,630,578,630,630,630,630,630,630,630,627,628
260,2019-03-11,passenger,1,347,347,331,347,347,347,347,347,347,347,347,347
261,2019-03-12,cargo,0,14,14,14,14,14,14,14,14,14,14,14,14
262,2019-03-12,cargo,1,1,1,1,1,1,1,1,1,1,1,1,1
263,2019-03-12,passenger,0,624,624,567,624,624,624,624,624,624,624,622,620
264,2019-03-12,passenger,1,345,345,320,345,345,345,345,345,345,345,345,345
265,2019-03-13,cargo,0,20,20,20,20,20,20,20,20,20,20,20,20
266,2019-03-13,cargo,1,2,2,1,2,2,2,2,2,2,2,2,2
267,2019-03-13,passenger,0,650,650,595,650,650,650,650,650,650,650,648,648
268,2019-03-13,passenger,1,349,349,336,349,349,349,349,349,349,349,349,349
269,2019-03-14,cargo,0,18,18,18,18,18,18,18,18,18,18,18,18
270,2019-03-14,cargo,1,1,1,1,1,1,1,1,1,1,1,1,1
271,2019-03-14,passenger,0,660,660,595,660,660,660,660,660,660,660,655,656
272,2019-03-14,passenger,1,363,363,350,363,363,363,363,363,363,363,363,363
273,2019-03-15,cargo,0,23,23,23,23,23,23,23,23,23,23,23,23
274,2019-03-15,cargo,1,4,4,4,4,4,4,4,4,4,4,4,4
275,2019-03-15,passenger,0,652,652,599,652,652,652,652,652,652,652,651,651
276,2019-03-15,passenger,1,360,360,348,360,360,360,360,360,360,360,360,360
277,2019-03-16,cargo,0,15,15,15,15,15,15,15,15,15,15,15,15
278,2019-03-16,cargo,1,4,4,3,4,4,4,4,4,4,4,4,4
279,2019-03-16,passenger,0,585,585,542,585,585,585,585,585,585,585,583,583
280,2019-03-16,passenger,1,253,253,236,253,253,253,253,253,253,253,253,253
281,2019-03-17,cargo,0,19,19,19,19,19,19,19,19,19,19,19,19
282,2019-03-17,cargo,1,2,2,1,2,2,2,2,2,2,2,2,2
283,2019-03-17,passenger,0,603,603,553,603,603,603,603,603,603,603,599,599
284,2019-03-17,passenger,1,247,247,233,247,247,247,247,247,247,247,247,247
285,2019-03-18,cargo,0,12,12,12,12,12,12,12,12,12,12,12,12
286,2019-03-18,cargo,1,3,3,3,3,3,3,3,3,3,3,3,3
287,2019-03-18,passenger,0,652,652,592,652,652,652,652,652,652,652,650,648
288,2019-03-18,passenger,1,358,358,340,358,358,358,358,358,358,358,358,358
289,2019-03-19,cargo,0,14,14,14,14,14,14,14,14,14,14,14,14
290,2019-03-19,cargo,1,1,1,1,1,1,1,1,1,1,1,1,1
291,2019-03-19,passenger,0,613,613,548,613,613,613,613,613,613,613,610,611
292,2019-03-19,passenger,1,360,360,352,360,360,360,360,360,360,360,360,360
293,2019-03-20,cargo,0,20,20,20,20,20,20,20,20,20,20,20,20
294,2019-03-20,cargo,1,1,1,1,1,1,1,1,1,1,1,1,1
295,2019-03-20,passenger,0,652,652,597,652,652,652,652,652,652,652,650,650
296,2019-03-20,passenger,1,363,363,346,363,363,363,363,363,363,363,363,363
297,2019-03-21,cargo,0,17,17,17,17,17,17,17,17,17,17,17,17
298,2019-03-21,cargo,1,1,1,1,1,1,1,1,1,1,1,1,1
299,2019-03-21,passenger,0,626,626,572,626,626,626,626,626,626,626,625,625
300,2019-03-21,passenger,1,361,361,353,361,361,361,361,361,361,361,361,361
301,2019-03-22,cargo,0,20,20,20,20,20,20,20,20,20,20,20,20
302,2019-03-22,cargo,1,2,2,2,2,2,2,2,2,2,2,2,2
303,2019-03-22,passenger,0,621,621,574,621,621,621,621,621,621,621,618,618
304,2019-03-22,passenger,1,351,351,336,351,351,351,351,351,351,351,351,351
305,2019-03-23,cargo,0,15,15,15,15,15,15,15,15,15,15,15,15
306,2019-03-23,cargo,1,2,2,1,2,2,2,2,2,2,2,2,2
307,2019-03-23,passenger,0,599,599,531,599,599,599,599,599,599,599,597,598
308,2019-03-23,passenger,1,248,248,236,248,248,248,248,248,248,248,248,248
309,2019-03-24,cargo,0,19,19,19,19,19,19,19,19,19,19,19,19
310,2019-03-24,cargo,1,2,2,2,2,2,2,2,2,2,2,2,2
311,2019-03-24,passenger,0,598,598,531,598,598,598,598,598,598,598,596,597
312,2019-03-24,passenger,1,262,262,253,262,262,262,262,262,262,262,262,262
313,2019-03-25,cargo,0,12,12,12,12,12,12,12,12,12,12,12,12
314,2019-03-25,cargo,1,2,2,2,2,2,2,2,2,2,2,2,2
315,2019-03-25,passenger,0,619,619,554,619,619,619,619,619,619,619,615,615
316,2019-03-25,passenger,1,329,329,314,329,329,329,329,329,329,329,329,329
317,2019-03-26,cargo,0,14,14,12,14,14,14,14,14,14,14,14,14
318,2019-03-26,cargo,1,1,1,1,1,1,1,1,1,1,1,1,1
319,2019-03-26,passenger,0,628,628,563,628,628,628,628,628,628,628,627,626
320,2019-03-26,passenger,1,361,361,353,361,361,361,361,361,361,361,361,361
321,2019-03-27,cargo,0,22,22,22,22,22,22,22,22,22,22,22,22
322,2019-03-27,passenger,0,643,643,576,643,643,643,643,643,643,643,641,640
323,2019-03-27,passenger,1,370,370,357,370,370,370,370,370,370,370,370,370
324,2019-03-28,cargo,0,17,17,17,17,17,17,17,17,17,17,17,17
325,2019-03-28,passenger,0,637,637,584,637,637,637,637,637,637,637,635,636
326,2019-03-28,passenger,1,374,374,360,374,374,374,374,374,374,374,374,374
327,2019-03-29,cargo,0,28,28,26,28,28,28,28,28,28,28,28,28
328,2019-03-29,cargo,1,4,4,4,4,4,4,4,4,4,4,4,4
329,2019-03-29,passenger,0,636,636,575,636,636,636,636,636,636,636,633,632
330,2019-03-29,passenger,1,348,348,339,348,348,348,348,348,348,348,348,348
331,2019-03-30,cargo,0,14,14,13,14,14,14,14,14,14,14,14,14
332,2019-03-30,cargo,1,2,2,2,2,2,2,2,2,2,2,2,2
333,2019-03-30,passenger,0,602,602,541,602,602,602,602,602,602,602,600,601
334,2019-03-30,passenger,1,251,251,238,251,251,251,251,251,251,251,251,251
335,2019-03-31,cargo,0,18,18,18,18,18,18,18,18,18,18,18,18
336,2019-03-31,cargo,1,1,1,1,1,1,1,1,1,1,1,1,1
337,2019-03-31,passenger,0,617,617,550,617,617,617,617,617,617,617,616,615
338,2019-03-31,passenger,1,285,285,262,285,285,285,285,285,285,285,285,285
339,2019-04-01,cargo,0,12,12,12,12,12,12,12,12,12,12,12,12
340,2019-04-01,cargo,1,2,2,2,2,2,2,2,2,2,2,2,2
341,2019-04-01,passenger,0,659,659,589,659,659,659,659,659,659,659,656,656
342,2019-04-01,passenger,1,325,325,313,325,325,325,325,325,325,325,325,325
343,2019-04-02,cargo,0,8,8,7,8,8,8,8,8,8,8,8,8
344,2019-04-02,cargo,1,1,1,1,1,1,1,1,1,1,1,1,1
345,2019-04-02,passenger,0,656,656,582,656,656,656,656,656,656,656,656,654
346,2019-04-02,passenger,1,325,325,304,325,325,325,325,325,325,325,325,325
347,2019-04-03,cargo,0,16,16,16,16,16,16,16,16,16,16,16,16
348,2019-04-03,passenger,0,729,729,654,729,729,729,729,729,729,729,726,728
349,2019-04-03,passenger,1,336,336,317,336,336,336,336,336,336,336,336,336
350,2019-04-04,cargo,0,14,14,14,14,14,14,14,14,14,14,14,14
351,2019-04-04,cargo,1,2,2,2,2,2,2,2,2,2,2,2,2
352,2019-04-04,passenger,0,749,749,668,749,749,749,749,749,749,749,748,749
353,2019-04-04,passenger,1,331,331,312,331,331,331,331,331,331,331,331,331
354,2019-04-05,cargo,0,16,16,15,16,16,16,16,16,16,16,16,16
355,2019-04-05,cargo,1,2,2,2,2,2,2,2,2,2,2,2,2
356,2019-04-05,passenger,0,659,659,583,659,659,659,659,659,659,659,659,659
357,2019-04-05,passenger,1,345,345,324,345,345,345,345,345,345,345,345,345
